variant,model,train_kind,experiment,group,feature_count,f1,recall,precision,accuracy,balanced_accuracy,pr_auc,tp,fp,fn,tn,roc_auc,status,baseline_f1,f1_delta_vs_baseline
with_billing_zip,BalancedBagging_original,original,ALL_FEATURES,ALL_FEATURES,55,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.5787914691943128,0.5826850114170506,0.08709473180015634,64,666,45,913,0.5726159280929168,ok,0.15256257449344457,0.0
with_billing_zip,BalancedBagging_original,original,DROP_GROUP,G_revenue_raw,51,0.15183867141162516,0.5871559633027523,0.08719346049046321,0.5764218009478673,0.5814183869711989,0.08722937585679374,64,670,45,909,0.5743357484414128,ok,0.15256257449344457,-0.0007239030818194103
with_billing_zip,BalancedBagging_original,original,DROP_GROUP,G_subscriber_raw,51,0.148859543817527,0.5688073394495413,0.0856353591160221,0.5799763033175356,0.574777323936297,0.09150054312913139,62,662,47,917,0.5723660893260745,ok,0.15256257449344457,-0.003703030675917568
with_billing_zip,BalancedBagging_original,original,DROP_GROUP,G_engineered_rates,42,0.1486810551558753,0.5688073394495413,0.08551724137931034,0.5793838862559242,0.5744606678248341,0.09069679178854187,62,663,47,916,0.5784813289098315,ok,0.15256257449344457,-0.003881519337569278
with_billing_zip,BalancedBagging_original,original,DROP_GROUP,G_interaction,37,0.13443396226415094,0.5229357798165137,0.07713125845737483,0.5651658767772512,0.5455084218905242,0.08880857452059576,57,682,52,897,0.5727524678840981,ok,0.15256257449344457,-0.018128612229293628
with_billing_zip,BalancedBagging_original,original,DROP_GROUP,G_transform,47,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.5787914691943128,0.5826850114170506,0.08659528998006127,64,666,45,913,0.5744229014996136,ok,0.15256257449344457,0.0
with_billing_zip,BalancedBagging_original,original,DROP_GROUP,G_categorical,47,0.1382488479262673,0.5504587155963303,0.07905138339920949,0.556872037914692,0.5538867358855623,0.07834097946600008,60,699,49,880,0.5509525829261348,ok,0.15256257449344457,-0.014313726567177276
with_billing_zip,BalancedBagging_original,original,ONLY_GROUP,G_revenue_raw,4,0.13610149942329874,0.5412844036697247,0.07783641160949868,0.5562796208530806,0.5492995799222595,0.08210478230553356,59,699,50,880,0.5442650382601926,ok,0.15256257449344457,-0.016461075070145825
with_billing_zip,BalancedBagging_original,original,ONLY_GROUP,G_subscriber_raw,4,0.14016172506738545,0.47706422018348627,0.08214849921011058,0.6220379146919431,0.5545549093317685,0.08900286586051401,52,581,57,998,0.5522017767603464,ok,0.15256257449344457,-0.012400849426059124
with_billing_zip,BalancedBagging_original,original,ONLY_GROUP,G_engineered_rates,13,0.11972789115646258,0.4036697247706422,0.07028753993610223,0.6167061611374408,0.5175410055138835,0.07472583175250343,44,582,65,997,0.54506684639564,ok,0.15256257449344457,-0.03283468333698199
with_billing_zip,BalancedBagging_original,original,ONLY_GROUP,G_interaction,18,0.12841854934601665,0.4954128440366973,0.07377049180327869,0.5657582938388626,0.5330135784464677,0.08252157194214824,54,678,55,901,0.5547408358559301,ok,0.15256257449344457,-0.024144025147427917
with_billing_zip,BalancedBagging_original,original,ONLY_GROUP,G_transform,8,0.13625866050808313,0.5412844036697247,0.07793923381770146,0.556872037914692,0.5496162360337224,0.08291593300115122,59,698,50,881,0.5447560004880572,ok,0.15256257449344457,-0.016303913985361435
with_billing_zip,BalancedBagging_original,original,ONLY_GROUP,G_categorical,8,0.15473441108545036,0.6146788990825688,0.08850726552179657,0.566350710900474,0.5888467326318481,0.08189783010658959,67,690,42,889,0.5805090900639704,ok,0.15256257449344457,0.002171836592005788
without_billing_zip,LogisticRegression_SMOTE,resampled,ALL_FEATURES,ALL_FEATURES,52,0.1676300578034682,0.26605504587155965,0.12236286919831224,0.8293838862559242,0.567163051751486,0.0879502013556322,29,208,80,1371,0.5746407841451158,ok,0.1676300578034682,0.0
without_billing_zip,LogisticRegression_SMOTE,resampled,DROP_GROUP,G_revenue_raw,48,0.14619883040935672,0.22935779816513763,0.1072961373390558,0.8270142180094787,0.548814427898275,0.08548992784346118,25,208,84,1371,0.5703063720505952,ok,0.1676300578034682,-0.02143122739411149
without_billing_zip,LogisticRegression_SMOTE,resampled,DROP_GROUP,G_subscriber_raw,48,0.14792899408284024,0.22935779816513763,0.1091703056768559,0.8293838862559242,0.5500810523441267,0.08221079476392872,25,204,84,1375,0.5612134029783105,ok,0.1676300578034682,-0.019701063720627965
without_billing_zip,LogisticRegression_SMOTE,resampled,DROP_GROUP,G_engineered_rates,39,0.13609467455621302,0.21100917431192662,0.10043668122270742,0.8270142180094787,0.5402734281945953,0.08523720231978796,23,206,86,1373,0.5676569190812906,ok,0.1676300578034682,-0.03153538324725519
without_billing_zip,LogisticRegression_SMOTE,resampled,DROP_GROUP,G_interaction,34,0.13924050632911392,0.2018348623853211,0.10628019323671498,0.8388625592417062,0.5423360505720145,0.08461758614596061,22,185,87,1394,0.5679241884597731,ok,0.1676300578034682,-0.02838955147435429
without_billing_zip,LogisticRegression_SMOTE,resampled,DROP_GROUP,G_transform,44,0.13861386138613863,0.1926605504587156,0.10824742268041238,0.8453791469194313,0.5415487679462673,0.08652768884465853,21,173,88,1406,0.5814852043158194,ok,0.1676300578034682,-0.02901619641732958
